Table Name,Column Name
cite,cited
cite,citing
author,aid
author,oid
author,homepage
author,name
domain,did
domain,name
writes,aid
writes,pid
journal,jid
journal,homepage
journal,name
keyword,kid
keyword,keyword
conference,cid
conference,homepage
conference,name
publication,year
publication,cid
publication,citation_num
publication,jid
publication,pid
publication,reference_num
publication,title
publication,abstract
organization,oid
organization,continent
organization,homepage
organization,name
domain_author,aid
domain_author,did
domain_journal,did
domain_journal,jid
domain_keyword,did
domain_keyword,kid
domain_conference,cid
domain_conference,did
domain_publication,did
domain_publication,pid
publication_keyword,pid
publication_keyword,kid
